Brand:,Model:,Trim / Edition:,Year of Manufacture:,Registration year:,Condition:,Transmission:,Body type:,Fuel type:,Engine capacity:,Kilometers run:,Price
Toyota,Noah,X 2 DOOR POWER,2005,2008,Used,Automatic,MPV,"CNG, Octane","2,000 cc","57,866 km","1,533,000"
Toyota,Prius,BLUE S-LED HYBRID,2018,,Reconditioned,Automatic,Estate,"Hybrid, Octane","1,800 cc","47,880 km","2,885,000"
Mitsubishi,RVR,HARD JEEP,2010,2012,Used,Automatic,Hatchback,Octane,"1,800 cc","52,314 km","1,668,000"
Nissan,X-Trail,"Sunroof , READY",2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","2,000 cc","45,721 km","4,650,000"
Toyota,Noah,Si,2013,2018,Used,Automatic,MPV,"CNG, Octane","2,000 cc","65,000 km","2,810,000"
Toyota,C-HR,High Great,2018,2020,Used,Automatic,Estate,"Hybrid, Octane","1,800 cc","49,231 km","2,942,000"
Toyota,Ractis,G push,2008,2013,Used,Automatic,Hatchback,Octane,"1,300 cc","72,000 km","950,000"
Jeep,Other Model,Jac Prado,2015,,Reconditioned,Manual,SUV / 4x4,Diesel,"1,998 cc",940 km,"1,535,000"
BMW,7 Series,745le.M Sport pkg,2019,2020,Used,Automatic,Saloon,"Hybrid, Octane","3,000 cc","5,000 km","25,500,000"
Toyota,Ractis,SUPER FRESH,2011,2016,Used,Automatic,Hatchback,Octane,"1,500 cc","55,623 km","1,534,000"
Toyota,Corona,PREMIO,2001,2003,Used,Automatic,Saloon,"CNG, Octane","1,600 cc","58,000 km","672,000"
Nissan,X-Trail,",",2015,2021,Used,Automatic,SUV / 4x4,"Hybrid, Octane","2,000 cc","70,000 km","3,150,000"
Other brand,Other model,Car For Sell,2007,2007,Used,Manual,Coupé/Sports,"Diesel, LPG","2,237 cc","85,000 km","450,000"
Mitsubishi,Lancer,"EX, GLI",2016,2016,Used,Automatic,Saloon,Octane,"1,500 cc","48,562 km","1,876,000"
Toyota,TownAce,SUPER FRESH,2011,2016,Used,Automatic,MPV,"Octane, LPG","1,500 cc","62,351 km","695,000"
Toyota,Noah,X,2009,2011,Used,Automatic,MPV,"Octane, LPG","2,000 cc","75,000 km","1,920,000"
Toyota,Noah,SI WXB 2018 PEARL,2018,,Reconditioned,Automatic,MPV,"Hybrid, Octane","1,800 cc","70,547 km","3,200,000"
Toyota,Premio,F-EX,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","18,000 km","3,980,000"
Toyota,Axio,X Limited,2017,2022,Used,Automatic,Saloon,Octane,"1,500 cc","40,000 km","2,280,000"
Toyota,Prius,S Safety Plus,2018,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","1,800 cc","56,218 km","2,880,000"
Toyota,Hiace,SUPER GL push proj,2019,,Reconditioned,Automatic,,"Petrol, Octane","2,000 cc","36,000 km","3,850,000"
Lexus,NX,300H.F'sports.Pkg.,2018,2021,Used,Automatic,SUV / 4x4,"Hybrid, Octane","2,500 cc","24,984 km","8,800,000"
Toyota,Mark II,Grande,1994,2002,Used,Manual,Saloon,Octane,"2,000 cc","100,000 km","700,000"
Toyota,Corolla,G WXB,2020,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","1,800 cc","4,728 km","3,400,000"
Toyota,Hiace,Duale AC,2012,2016,Used,Automatic,MPV,"CNG, Octane","2,000 cc","88,626 km","2,190,000"
Toyota,Prado,LAND CRUISER DIESEL,2015,,Reconditioned,Manual,SUV / 4x4,Diesel,"3,000 cc","44,000 km","8,100,000"
Honda,CR-V,EX-MASTER PIECE,2018,,Reconditioned,Automatic,SUV / 4x4,Octane,"1,500 cc","31,000 km","6,250,000"
Toyota,Esquire,Gi Premium,2019,,Reconditioned,Automatic,,"Petrol, Octane","2,000 cc","24,000 km","4,300,000"
Toyota,Premio,super fres condition,2003,2008,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","88,000 km","1,390,000"
Toyota,Allion,G LED PKG POINT 4,2019,,Reconditioned,Automatic,Saloon,Octane,"1,500 cc","41,570 km","3,650,000"
Mitsubishi,Outlandar,Hybrid Black,2015,2018,Used,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","2,000 cc","35,000 km","2,900,000"
Toyota,Highlander,2.5.LITER.HYBRID.,2022,2022,Used,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","2,500 cc","8,140 km","14,100,000"
Toyota,Axio,X,2012,2017,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","58,666 km","1,682,000"
Toyota,Axio,X,2015,2021,Used,Automatic,Saloon,"Hybrid, Octane","1,500 cc","54,600 km","1,865,000"
Toyota,C-HR,G LED HYBRID PACKAGE,2018,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","1,800 cc","26,000 km","3,550,000"
Toyota,Hiace,GL ORGINAL DUAL AC,2019,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","2,000 cc","55,000 km","3,100,000"
Toyota,Hiace,Super GL,2014,2019,Used,Automatic,MPV,"CNG, Octane","2,000 cc","70,000 km","3,000,000"
Toyota,C-HR,G LED,2018,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","1,800 cc","47,148 km","3,250,000"
Toyota,Hiace,Haf Siling Bank Loan,2016,2022,Used,Automatic,MPV,"CNG, Octane","2,000 cc","33,000 km","1,950,000"
Toyota,Premio,FEX,2018,,Reconditioned,Automatic,Saloon,Petrol,"1,500 cc","6,530 km","4,000,000"
Toyota,Fielder,Hybird Bank Loan,2014,2021,Used,Automatic,Estate,"Hybrid, Octane","1,500 cc","37,621 km","1,150,000"
Toyota,Voxy,Zs Khiramiki 4 point,2019,,Reconditioned,Automatic,Estate,Hybrid,"1,800 cc","36,000 km","3,550,000"
Toyota,Axio,COROLLA,2015,2018,Used,Automatic,Saloon,"Octane, LPG","1,500 cc","56,000 km","2,085,000"
Toyota,C-HR,G LED PULSE RED 2TON,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,800 cc","50,347 km","3,550,000"
Toyota,Hiace,Super GL,2015,2019,Used,Automatic,MPV,"Octane, LPG","2,000 cc","96,000 km","3,270,000"
Toyota,Prado,TX Limited,2014,2017,Used,Automatic,SUV / 4x4,Octane,"2,700 cc","48,200 km","9,950,000"
Toyota,Noah,X,2004,2007,Used,Automatic,MPV,"CNG, Octane","2,000 cc","56,399 km","1,315,999"
Toyota,Axio,X HYBRID,2018,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","78,450 km","2,150,000"
Toyota,Noah,NEW SHAP-X,2018,,Reconditioned,Automatic,,Hybrid,"1,800 cc","33,562 km","3,350,000"
Toyota,C-HR,G Led,2018,,Reconditioned,Automatic,SUV / 4x4,Hybrid,"1,800 cc","42,861 km","3,380,000"
Toyota,Esquire,GI-premium new shap,2018,,Reconditioned,Automatic,MPV,Hybrid,"1,800 cc","41,398 km","3,520,000"
Toyota,ist,Rush/Vitz/Suv,2012,2014,Used,Automatic,SUV / 4x4,Octane,"1,500 cc","55,103 km","1,700,000"
Toyota,Rush,7 Seat family used,2019,2019,Used,Automatic,SUV / 4x4,Octane,"1,500 cc","67,993 km","3,750,000"
Nissan,X-Trail,"Seven Seat, Octane",2017,2017,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","36,000 km","4,650,000"
Nissan,Bluebird,SHILPI,2006,2011,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","55,000 km","1,100,000"
Toyota,Axio,X,2014,2019,Used,Automatic,Saloon,"Hybrid, Octane","1,500 cc","53,999 km","1,670,000"
Toyota,Premio,F-EX LED 4.0 PEARL,2020,,Reconditioned,Automatic,Saloon,Octane,"1,500 cc","69,325 km","4,350,000"
Toyota,Allion,Full Fresh All Auto,2005,2005,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","199,000 km","1,320,000"
Toyota,Aqua,S Style Black Hybrid,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,500 cc","50,604 km","1,950,000"
Toyota,Corolla,X,2005,2008,Used,Automatic,Saloon,"Petrol, Octane","1,500 cc","30,856 km","1,170,000"
Toyota,Noah,SI 2Door Power,2013,2018,Used,Automatic,Hatchback,Octane,"2,000 cc","66,400 km","2,650,000"
Toyota,Avanza,1.5 S,2010,2011,Used,Automatic,MPV,"CNG, Octane","1,500 cc","59,000 km","1,370,000"
Honda,Vezel,RS,2016,2017,Used,Automatic,SUV / 4x4,Octane,"1,500 cc","4,800 km","2,650,000"
Toyota,C-HR,S LED WINE 92000KM,2018,,Reconditioned,Automatic,SUV / 4x4,Hybrid,"1,800 cc","92,000 km","3,080,000"
Toyota,Premio,F-EX Package Pearl,2020,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc",500 km,"4,400,000"
Toyota,Sienta,G Hybrid Cherry Red,2018,,Reconditioned,Automatic,MPV,"Petrol, Hybrid, Octane","1,500 cc","43,809 km","2,650,000"
Toyota,Noah,KR 42 5 DOOR,2004,2010,Used,Automatic,MPV,"CNG, Octane","1,800 cc","60,000 km","895,000"
Toyota,Crown,RS ADVAN. NARDO GRAY,2021,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","2,500 cc","9,859 km","12,800,000"
Nissan,Bluebird,,2006,2006,Used,Automatic,Saloon,"CNG, Octane","1,600 cc","9,000 km","645,000"
Toyota,Noah,X 3.5 BLACK,2019,,Reconditioned,Automatic,MPV,Octane,"2,000 cc","83,012 km","3,880,000"
Honda,Vezel,Z SENSING,2018,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","1,500 cc","43,373 km","3,380,000"
Toyota,Succeed,GL,2011,2016,Used,Automatic,Estate,"CNG, Octane","1,500 cc","79,000 km","1,090,000"
Toyota,Corolla,,1996,2001,Used,Automatic,Saloon,"CNG, Octane","1,331 cc","24,637 km","550,000"
Toyota,Fielder,X LTD,2011,2016,Used,Automatic,Estate,Octane,"1,500 cc","61,000 km","1,435,000"
Toyota,Allion,a15,2006,2009,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","73,800 km","1,445,000"
Toyota,Noah,X Non Hybrid,2018,,Reconditioned,Automatic,,"Petrol, Octane","2,000 cc","36,000 km","3,250,000"
Toyota,Prius,S SAFETY PLUS,2018,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,800 cc","37,200 km","2,700,000"
Toyota,Noah,Si Wxb Black Ready,2018,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","1,800 cc","32,000 km","3,350,000"
Toyota,Harrier,Advance Premium,2018,2021,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","27,288 km","7,800,000"
Nissan,X-Trail,",",2015,2021,Used,Automatic,SUV / 4x4,"Hybrid, Octane","2,000 cc","70,000 km","3,150,000"
Toyota,Esquire,Hybrid ব্যাংক লোনসহ,2017,2022,Used,Automatic,MPV,"Hybrid, Octane","2,000 cc","64,000 km","1,880,000"
Toyota,Corolla,X New Shape,2004,2008,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","73,000 km","1,135,000"
Toyota,Axio,Super Fresh,2011,2016,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","81,000 km","1,575,000"
Toyota,Corolla,X 90kg CNG,2004,2008,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","95,000 km","1,090,000"
Toyota,Axio,G LTD,2016,2021,Used,Automatic,Saloon,"Hybrid, Octane","1,500 cc","51,000 km","2,150,000"
Nissan,X-Trail,X-HYBRID,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Octane","2,000 cc","61,977 km","4,120,000"
Toyota,Premio,F Ex package,2018,2022,Used,Automatic,Saloon,Octane,"1,500 cc","26,000 km","3,780,000"
Toyota,C-HR,S LED 2TONE 36000KM,2018,,Reconditioned,Automatic,SUV / 4x4,Hybrid,"1,800 cc","36,000 km","3,230,000"
Toyota,Fielder,WXB,2014,2019,Used,Automatic,Estate,"Hybrid, Octane","1,500 cc","78,112 km","1,860,000"
Toyota,Hiace,DX Pkg White,2018,,Reconditioned,Automatic,,"Petrol, Octane","2,000 cc","67,600 km","2,700,000"
Toyota,C-HR,G-LED Hybrid,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","1,800 cc","33,423 km","3,520,000"
Toyota,Premio,F' Push Start,2007,2012,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","82,000 km","1,875,000"
Honda,CR-V,G PKG,2012,2016,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","46,000 km","2,850,000"
Toyota,Ractis,push Start,2012,2018,Used,Automatic,Hatchback,Octane,"1,500 cc","57,000 km","1,385,000"
Toyota,Passo,Sette,2009,2014,Used,Automatic,Estate,Octane,"1,500 cc","67,000 km","1,475,000"
Toyota,Premio,F,2010,2016,Used,Automatic,Saloon,Petrol,"1,500 cc","81,000 km","2,200,000"
