Brand:,Model:,Trim / Edition:,Year of Manufacture:,Registration year:,Condition:,Transmission:,Body type:,Fuel type:,Engine capacity:,Kilometers run:,Price
Toyota,C-HR,G_LED,2018,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","1,800 cc","33,423 km","3,500,000"
Haval,H9,4WD,2021,2021,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","16,944 km","7,100,000"
Toyota,C-HR,GRAY G-LED BODY-KIT,2018,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","1,800 cc","41,404 km","3,425,000"
Toyota,Prius,S TOURING,2018,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","46,509 km","3,330,000"
Toyota,Axio,HYBRID X,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,500 cc","56,423 km","2,300,000"
Toyota,Aqua,S Style Black Hybrid,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,500 cc","46,547 km","1,870,000"
Mitsubishi,Lancer,Ex Sunroof Rockford,2010,2010,Used,Automatic,Saloon,Octane,"1,500 cc","58,000 km","1,830,000"
Honda,Vezel,Z Package Hybrid,2018,2022,Used,Automatic,SUV / 4x4,"Hybrid, Octane","1,500 cc","41,206 km","3,050,000"
Toyota,Corolla,,2001,2005,Used,Automatic,Saloon,"Octane, LPG","1,500 cc","74,000 km","799,000"
Toyota,Land Cruiser,Prado,2012,2013,Used,Automatic,SUV / 4x4,Octane,"2,700 cc","59,000 km","7,900,000"
Toyota,Hiace,Ambulance,2017,2021,Used,Automatic,MPV,"CNG, Octane","2,000 cc","78,000 km","2,165,000"
Toyota,Other Model,Fielder WXB,2018,2018,Reconditioned,Automatic,Hatchback,Hybrid,"1,500 cc","38,000 km","2,850,000"
Toyota,Vitz,2011,2011,2016,Used,Automatic,Saloon,Octane,"1,300 cc","52,000 km","1,190,000"
Toyota,Premio,japan,2020,2022,Used,Automatic,Saloon,Octane,"1,500 cc","41,000 km","3,999,999"
Toyota,Fielder,X Hybrid Black,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,500 cc","51,060 km","2,330,000"
Toyota,Allion,Allion G,2007,2012,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","74,500 km","1,750,000"
Toyota,Premio,Toyota Japan,2013,2016,Used,Automatic,Saloon,Octane,"1,500 cc","66,000 km","2,585,000"
Toyota,Premio,FEX.PAKG,2019,2021,Used,Automatic,Saloon,Octane,"1,500 cc","36,000 km","3,800,000"
Toyota,Premio,Toyota Japan,2019,2022,Used,Automatic,Saloon,Octane,"1,500 cc","28,000 km","4,035,000"
Toyota,Axio,X-Non Hybrid,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","46,080 km","2,450,000"
Toyota,Allion,Toyota Japan,2019,2022,Used,Automatic,Saloon,Octane,"1,500 cc","33,000 km","3,899,999"
Toyota,Corolla,EE-111 Lx,1999,2003,Used,Automatic,Saloon,"CNG, Octane","1,331 cc","98,000 km","580,000"
Toyota,Axio,X Hybrid,2018,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","38,541 km","2,300,000"
Toyota,Prius,,2013,2018,Used,Automatic,Hatchback,"Hybrid, Octane","1,800 cc","56,250 km","1,850,000"
Toyota,ist,.,2004,2008,Used,Automatic,Hatchback,"Octane, LPG","1,500 cc","70,000 km","730,000"
Toyota,Hiace,Super GL Pkg Black,2018,,Reconditioned,Automatic,,Diesel,"3,000 cc","61,578 km","3,500,000"
Toyota,Harrier,PROGRESS METAL LP HV,2017,,Reconditioned,Automatic,SUV / 4x4,Hybrid,"2,500 cc","38,000 km","7,100,000"
Toyota,Hiace,Super GL Pkg Pearl,2018,,Reconditioned,Automatic,,"Petrol, Octane","2,000 cc","51,689 km","3,800,000"
Toyota,Supra,Star Limo,2000,2004,Used,Automatic,MPV,LPG,"2,000 cc","80,000 km","1,150,000"
Toyota,Noah,.,2004,2007,Used,Manual,Saloon,"Petrol, CNG","2,000 cc","9,000 km","122,100"
Toyota,Allion,G 2012,2012,2018,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","75,000 km","2,300,000"
Jeep,Other Model,v6,1989,1989,Used,Manual,SUV / 4x4,CNG,"2,000 cc","100,000 km","320,000"
Nissan,X-Trail,20x Hybrid (EBP),2018,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","2,000 cc","49,445 km","4,080,000"
Toyota,Premio,F EX,2016,2018,Used,Automatic,Saloon,Octane,"1,500 cc","34,900 km","3,275,000"
Toyota,Esquire,GI PREMIUM,2019,,Reconditioned,Automatic,MPV,"Petrol, Hybrid, Octane","1,800 cc","41,000 km","3,950,000"
Toyota,Succeed,GL,2011,2016,Used,Automatic,Estate,"CNG, Octane","1,500 cc","79,000 km","1,090,000"
Toyota,Premio,F-EX Package,2019,,Reconditioned,Automatic,Saloon,Octane,"1,500 cc","13,850 km","4,500,000"
Toyota,Premio,premio 2017,2017,2018,Used,Automatic,Saloon,Octane,"1,500 cc","50,000 km","3,490,000"
Toyota,Noah,X Smart,2012,2018,Used,Automatic,MPV,"CNG, Octane","2,000 cc","55,900 km","2,350,000"
BMW,X7,Rear.Entertainment.,2022,2022,Used,Automatic,SUV / 4x4,Octane,"3,000 cc","4,929 km","33,000,000"
Toyota,Succeed,UL,2003,2007,Used,Automatic,Estate,"CNG, Octane","1,500 cc","75,211 km","710,000"
Nissan,X-Trail,Hybrid,2018,2018,Used,Automatic,SUV / 4x4,"Hybrid, Octane","2,000 cc","40,000 km","4,100,000"
Toyota,Axio,x,2015,2020,Used,Automatic,Saloon,"Hybrid, Octane","1,500 cc","64,039 km","1,850,000"
Toyota,Axio,G,2008,2013,Used,Automatic,Saloon,Octane,"1,500 cc","62,191 km","1,450,000"
Toyota,Land Cruiser,PRADO,2005,2006,Used,Automatic,SUV / 4x4,Octane,"2,700 cc","65,248 km","4,050,000"
Toyota,Axio,X Hybrid,2018,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","58,000 km","2,450,000"
Toyota,Hiace,SUPER GL-DARK PRIME,2021,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","18,000 km","4,150,000"
Toyota,Axio,Fielder Hybrid Fresh,2014,2020,Used,Automatic,Hatchback,"Hybrid, Octane","1,500 cc","64,000 km","1,635,000"
Toyota,Wagon,.,1994,1997,Used,Manual,Hatchback,"Octane, LPG","1,331 cc","245,874 km","140,000"
Toyota,Noah,2019,2019,,Reconditioned,Automatic,MPV,"Petrol, Hybrid, Octane","1,800 cc","39,000 km","3,650,000"
Toyota,Aqua,Z PKG HYBRID,2013,2018,Used,Automatic,Hatchback,"Hybrid, Octane","1,500 cc","60,000 km","1,245,000"
Toyota,Corolla,,1996,2000,Used,Automatic,Saloon,"CNG, Octane","1,493 cc","75,000 km","580,000"
Toyota,Noah,SI WXB  NON HYBRID,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Octane","2,000 cc","19,000 km","4,050,000"
Toyota,Axio,X- limited,2012,2017,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","69,552 km","1,735,000"
Toyota,Axio,NON HYBRID,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","63,520 km","2,430,000"
Toyota,Noah,X 2018 SILVER,2018,,Reconditioned,Automatic,MPV,Octane,"2,000 cc","99,460 km","3,630,000"
Toyota,Axio,x,2006,2010,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","98,520 km","1,285,000"
Toyota,Axio,X- limited,2010,2016,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","73,250 km","1,545,000"
Nissan,X-Trail,Octane,2017,2017,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","38,000 km","4,500,000"
Toyota,Hiace,.,2005,2009,Used,Automatic,MPV,"Petrol, CNG","2,200 cc","150,000 km","1,650,000"
Nissan,X-Trail,20X EBP 4WD PEARL,2018,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","2,000 cc","21,019 km","3,850,000"
Toyota,Axio,G Package,2013,2019,Used,Automatic,Saloon,Octane,"1,500 cc","55,000 km","1,660,000"
Toyota,Corolla,.,1999,2001,Used,Automatic,Saloon,"CNG, Octane","1,331 cc","210,000 km","545,000"
Toyota,Premio,FL Package,2018,,Reconditioned,Automatic,Saloon,Octane,"1,500 cc","41,577 km","4,200,000"
Toyota,Land Cruiser,"V8.SAHARA,EDITION.",2017,2018,Used,Automatic,SUV / 4x4,Diesel,"4,500 cc","41,239 km","27,000,000"
Toyota,Land Cruiser,"V8.EXTREMELY,FRESH.",2015,2017,Used,Automatic,SUV / 4x4,Diesel,"4,500 cc","42,319 km","18,500,000"
Toyota,Prius,S TOURING,2018,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","40,000 km","3,450,000"
BMW,X7,"40i,Xdrive,Long,WBS,",2022,2023,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,999 cc","5,000 km","32,500,000"
Toyota,Allion,G PKG WHITE POINT 4,2018,,Reconditioned,Automatic,Saloon,Octane,"1,500 cc","91,000 km","3,250,000"
Toyota,Land Cruiser,"V8.SAHARA,PKG,",2016,2017,Used,Automatic,SUV / 4x4,Diesel,"4,500 cc","43,339 km","21,000,000"
Range Rover,400,"Sport,Autobiography""",2019,2021,Used,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","2,000 cc","8,000 km","22,000,000"
Toyota,Fielder,G & Silver,2018,,Reconditioned,Automatic,,"Hybrid, Octane","1,500 cc","110,565 km","2,550,000"
Toyota,Corolla,Black- Color,2020,,Reconditioned,Automatic,,"Hybrid, Octane","1,500 cc","40,202 km","3,900,000"
Toyota,Axio,X 4.0 SILVER,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,500 cc","36,950 km","2,500,000"
Toyota,Noah,X 2Door Pwr,2015,2021,Used,Automatic,MPV,"Hybrid, Octane","1,790 cc","76,000 km","2,650,000"
Toyota,Prius,S LED 4.0 PEARL,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,800 cc","110,290 km","2,900,000"
Toyota,Premio,White & F-L,2018,,Reconditioned,Automatic,,Octane,"1,500 cc","56,458 km","3,850,000"
Honda,CR-V,EX Masterpiece,2019,,Reconditioned,Automatic,SUV / 4x4,Petrol,"1,500 cc","26,230 km","6,300,000"
Toyota,Fielder,WXB Non Hybrid,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Octane","1,500 cc","53,200 km","2,970,000"
Toyota,Premio,Toyota Japan,2019,2022,Used,Automatic,Saloon,Octane,"1,500 cc","33,000 km","4,035,000"
Toyota,Fielder,WXB,2018,,Reconditioned,Automatic,Hatchback,Petrol,"1,500 cc","36,750 km","3,000,000"
Toyota,ist,Super Condition,2004,2008,Used,Automatic,Hatchback,"CNG, Octane","1,300 cc","69,000 km","860,000"
Toyota,Premio,.,2018,2021,Used,Automatic,Saloon,Octane,"1,500 cc","28,000 km","3,865,000"
Toyota,Noah,WXB Non Hybrid,2018,,Reconditioned,Automatic,Estate,"Petrol, Octane","2,000 cc","41,000 km","4,000,000"
Toyota,ist,G - Package,2012,2017,Used,Automatic,Hatchback,Octane,"1,500 cc","34,443 km","1,650,000"
Toyota,Esquire,GI Premium Pearl,2018,,Reconditioned,Automatic,Estate,"Petrol, Hybrid, Octane","1,800 cc","36,040 km","3,850,000"
Toyota,Hiace,Super GL DARKPRIME2,2019,,Reconditioned,Automatic,,"Petrol, Octane","2,000 cc","80,455 km","3,900,000"
Toyota,Axio,X Hybrid,2018,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","1,500 cc","39,534 km","2,370,000"
Toyota,Axio,.,2011,2017,Used,Automatic,Saloon,Octane,"1,500 cc","60,500 km","1,625,000"
Toyota,Land Cruiser,Prado,2023,,Reconditioned,Automatic,,Octane,"2,700 cc",8 km,"22,500,000"
Toyota,Hiace,GL,2018,,Reconditioned,Automatic,,"Petrol, Octane","2,000 cc","72,542 km","2,250,000"
Toyota,Allion,G PKG BEIGE INT,2017,,Reconditioned,Automatic,Saloon,Octane,"1,500 cc","25,000 km","3,520,000"
Toyota,Hiace,GL,2018,,Reconditioned,Automatic,,"Petrol, Octane","2,000 cc","65,852 km","2,950,000"
Toyota,Premio,White & F-L,2018,,Reconditioned,Automatic,,Octane,"1,500 cc","66,287 km","3,800,000"
Toyota,Premio,F Key Start  Silver,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","37,000 km","3,350,000"
Toyota,Passo,((চালিত অকটেন)),2010,2015,Used,Automatic,Estate,Octane,"1,000 cc","36,528 km","890,000"
Toyota,Premio,F-L & White,2018,,Reconditioned,Automatic,,Octane,"1,500 cc","61,925 km","3,800,000"
Nissan,X-Trail,20x Hybrid (EBP),2018,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","2,000 cc","95,822 km","4,250,000"
Toyota,Noah,Xi NON Hybrid,2018,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","2,000 cc","88,746 km","3,650,000"
Toyota,Premio,F-Ex & Pearl,2021,,Reconditioned,Automatic,,Octane,"1,500 cc","6,558 km","4,800,000"
Toyota,Voxy,G Hybrid Ready Stock,2018,,Reconditioned,Automatic,MPV,Hybrid,"1,800 cc","40,000 km","3,320,000"
Nissan,X-Trail,7 Seat/Turbo/Sunroof,2021,2021,Used,Automatic,SUV / 4x4,Octane,"1,332 cc","9,781 km","5,700,000"
Toyota,Allion,2004,2004,2008,Used,Manual,Saloon,"CNG, Octane","1,500 cc","42,000 km","1,420,000"
Toyota,Corolla,G,2000,2004,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","133,000 km","820,000"
Honda,Grace,Ex Hybrid,2018,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","21,604 km","2,900,000"
Toyota,Premio,G Superior,2008,2009,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","62,000 km","1,930,000"
Toyota,Harrier,Sunroof non hybrid,2019,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Octane","2,000 cc","48,000 km","7,800,000"
Toyota,Hiace,SUPER GL 3.5 BLACK,2019,,Reconditioned,Automatic,MPV,Octane,"2,000 cc","59,602 km","3,900,000"
Toyota,Prius,,2017,2022,Used,Automatic,Hatchback,"Hybrid, Octane","1,800 cc","33,995 km","2,850,000"
Toyota,Probox,2005,2005,2013,Used,Automatic,MPV,"CNG, Octane","1,550 cc","157,800 km","830,000"
Toyota,Premio,FL Package,2017,2021,Used,Automatic,Saloon,Octane,"1,500 cc","45,000 km","3,320,000"
Toyota,Corolla,EE90,1991,,Used,Automatic,Saloon,CNG,"1,300 cc","200,000 km","400,000"
Kia,Sportage,Orange,2011,2011,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","80,000 km","2,080,000"
Toyota,Harrier,Z Leather Non Hybrid,2020,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Octane","2,000 cc","19,000 km","10,000,000"
Toyota,Premio,push start,2015,2020,Used,Automatic,Saloon,Octane,"1,500 cc","43,000 km","2,980,000"
Nissan,Caravan,Nissan Ambulance,2003,2008,Used,Automatic,MPV,CNG,"2,000 cc","450,000 km","410,000"
Toyota,Corolla,.,1999,2001,Used,Automatic,Saloon,"CNG, Octane","1,331 cc","210,000 km","545,000"
Toyota,Corolla,PEARL,2020,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,800 cc","22,597 km","3,850,000"
Toyota,ist,S Full Fresh,2005,2008,Used,Automatic,Hatchback,Octane,"1,300 cc","85,740 km","840,000"
Toyota,Prius,Alpha 7 Seatter,2019,2020,Used,Automatic,Estate,"Hybrid, Octane","1,800 cc","31,000 km","3,380,000"
Toyota,Harrier,harrier,2016,2016,Used,Automatic,Estate,Octane,"2,000 cc","62,777 km","5,950,000"
Nissan,Caravan,Nissan Ambulance,2003,2008,Used,Automatic,MPV,CNG,"2,000 cc","450,000 km","410,000"
Toyota,Hiace,Duale AC,2012,2016,Used,Automatic,MPV,"CNG, Octane","2,000 cc","88,626 km","2,190,000"
Toyota,Fielder,"WXB,PUSH.LEATHER,",2013,2019,Used,Automatic,Estate,"Petrol, Octane","1,500 cc","61,000 km","1,800,000"
Toyota,Prius,S-TOURING READY,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,800 cc","54,000 km","3,250,000"
Toyota,Corolla,X LTD,2004,2011,Used,Automatic,Saloon,"Petrol, CNG, Octane","1,500 cc","67,543 km","1,295,000"
Toyota,Hiace,DX-GL  PKG,2018,,Reconditioned,Automatic,MPV,Octane,"2,000 cc","110,000 km","2,800,000"
Toyota,Corolla,x,2003,2005,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","89,532 km","950,000"
Toyota,Prado,Land Cruiser TX-L,2018,2019,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","21,000 km","15,200,000"
Toyota,Land Cruiser,V8,2017,2017,Used,Automatic,SUV / 4x4,Diesel,"4,500 cc","33,698 km","27,500,000"
Toyota,Prado,"Tx-L,Auto,Wing,",2017,2018,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","33,000 km","14,300,000"
Toyota,Prius,S-SAFETY READY,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,800 cc","84,000 km","2,850,000"
Toyota,Axio,G,2009,2015,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","56,325 km","1,450,000"
Toyota,Corolla Cross,Z Ready In Showroom,2022,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","1,800 cc","1,800 km","5,800,000"
Toyota,Allion,Allion G,2005,2009,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","74,500 km","1,445,000"
Toyota,Prius,Pearl S Touring,2018,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","52,000 km","3,050,000"
Toyota,Noah,X,2005,2008,Used,Automatic,Saloon,"CNG, Octane","2,000 cc","297,261 km","1,550,000"
Toyota,Fielder,Axio Reg 2017,2008,2017,Used,Automatic,Hatchback,"CNG, Octane","1,500 cc","98,000 km","1,340,000"
Toyota,Axio,X,2016,2021,Used,Automatic,Saloon,Octane,"1,500 cc","66,000 km","2,180,000"
Toyota,Premio,F,2008,2014,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","120,000 km","1,980,000"
Toyota,Noah,X Smart,2012,2018,Used,Automatic,MPV,"CNG, Octane","2,000 cc","55,800 km","2,350,000"
Toyota,Prius,GRAY,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,800 cc","49,720 km","3,350,000"
Toyota,Premio,F G Grade,2013,2015,Used,Automatic,Saloon,Octane,"1,500 cc","42,000 km","2,565,000"
Kia,Sportage,Hard Jeep,2005,2005,Used,Automatic,Hatchback,"Octane, LPG","1,800 cc","165,900 km","930,000"
Toyota,Succeed,UL,2003,2007,Used,Automatic,Estate,"CNG, Octane","1,500 cc","75,800 km","710,000"
Toyota,Noah,X Edition,2003,2009,Used,Automatic,MPV,"CNG, Octane","2,000 cc","55,000 km","1,250,000"
Nissan,Juke,.,2011,2016,Used,Automatic,SUV / 4x4,Octane,"1,500 cc","62,000 km","1,350,000"
Toyota,Prado,"Tx-L.Land.Cruiser,",2011,2015,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","57,016 km","7,200,000"
Toyota,Land Cruiser,"V8,ZX,4.6L.PATROL.",2016,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Octane","4,600 cc","6,000 km","32,000,000"
Toyota,C-HR,BLACK,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","1,800 cc","52,509 km","3,620,000"
Toyota,Land Cruiser,PRADO TX,2005,2006,Used,Automatic,SUV / 4x4,Octane,"2,700 cc","65,800 km","4,050,000"
Toyota,Harrier,Advance Premium pkg,2016,2017,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,000 cc","45,000 km","6,300,000"
Toyota,Prado,Tx-L Limited,2013,2016,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","32,000 km","8,700,000"
Toyota,Premio,F EX,2016,2020,Used,Automatic,Saloon,Octane,"1,500 cc","34,800 km","3,275,000"
Mercedes-Benz,C200,Amg.Line.Pkg.,2017,2018,Used,Automatic,Saloon,"Petrol, Octane","1,991 cc","16,000 km","6,800,000"
Toyota,Land Cruiser,V8.VXR.OVER.FRESH.,2015,2017,Used,Automatic,SUV / 4x4,Diesel,"4,500 cc","46,319 km","18,800,000"
Nissan,Bluebird,g edition,2008,2009,Used,Automatic,Saloon,Octane,"1,500 cc","63,590 km","1,340,000"
Nissan,Juke,.,2014,2016,Used,Automatic,SUV / 4x4,Octane,"1,500 cc","62,000 km","1,350,000"
Toyota,Axio,X Fielder Hybrid,2016,2022,Used,Automatic,Hatchback,"Hybrid, Octane","1,500 cc","57,301 km","1,950,000"
Nissan,Carryboy,G EDITION,2005,2008,Used,Automatic,Saloon,Octane,"1,500 cc","65,400 km","1,245,000"
BMW,7 Series,730Li Twine Turbo,2016,2016,Used,Automatic,Saloon,"Petrol, Electric","2,000 cc","18,698 km","16,000,000"
Honda,Vezel,hybrid,2014,2017,Used,Automatic,SUV / 4x4,"Hybrid, Octane","1,500 cc","60,780 km","1,770,000"
Toyota,Corolla Cross,BLACK,2022,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","1,800 cc","1,758 km","5,830,000"
Toyota,Premio,FEX,2020,,Reconditioned,Automatic,Saloon,Petrol,"1,500 cc","33,415 km","4,400,000"
BMW,3 Series,320i,2005,2006,Used,Automatic,Saloon,Octane,"2,000 cc","66,000 km","1,960,000"
Toyota,Premio,g superior,2009,2015,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","63,000 km","2,045,000"
Toyota,Axio,X,2015,2022,Used,Automatic,Saloon,"Petrol, Hybrid","1,500 cc","65,200 km","1,690,000"
Toyota,Premio,F-EX,2019,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","53,000 km","4,250,000"
Toyota,Noah,SI WXB (NON HYBRID),2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","76,850 km","3,800,000"
Toyota,Yaris Cross,Z PACKAGE,2021,,Reconditioned,Automatic,SUV / 4x4,Hybrid,"1,500 cc","33,000 km","4,170,000"
Nissan,Caravan,Nissan Ambulance,2003,2008,Used,Automatic,MPV,CNG,"2,000 cc","450,000 km","410,000"
Toyota,Allion,A15 G Push,2014,2015,Used,Automatic,Saloon,Octane,"1,500 cc","70,102 km","2,650,000"
Toyota,Noah,Hybrid X,2018,,Reconditioned,Automatic,MPV,"Petrol, Hybrid, Octane","1,800 cc","65,000 km","3,380,000"
Toyota,Probox,G EDITION,2003,2007,Used,Automatic,Saloon,"CNG, Octane","1,300 cc","75,400 km","745,000"
Toyota,Rumion,G EDITION,2010,2015,Used,Automatic,SUV / 4x4,Octane,"1,500 cc","65,400 km","1,885,000"
Toyota,Corolla,G EDITION,2003,2007,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","75,200 km","1,145,000"
Toyota,Rumion,G EDITION,2010,2015,Used,Automatic,SUV / 4x4,"Octane, LPG","1,500 cc","65,200 km","1,885,000"
Toyota,C-HR,G LED,2018,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","14,000 km","3,500,000"
Toyota,Prius,S SAFETY PLUS,2018,,Reconditioned,Automatic,,Hybrid,"1,800 cc","31,000 km","3,190,000"
Toyota,Prius,S TOURING,2019,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","21,000 km","3,550,000"
Toyota,Prius,s,2018,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","85,000 km","3,080,000"
Toyota,Esquire,GI PREMIUM,2018,,Reconditioned,Automatic,,Hybrid,"1,800 cc","40,000 km","4,050,000"
Toyota,Noah,X 2019 BLACK,2019,,Reconditioned,Automatic,MPV,Octane,"2,000 cc","64,235 km","3,880,000"
Toyota,Prius,S TOURING,2018,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","61,000 km","3,350,000"
Nissan,X-Trail,20XI EMBP,2018,,Reconditioned,Automatic,SUV / 4x4,Hybrid,"2,000 cc","44,000 km","4,400,000"
Toyota,Passo,G EDITION,2009,2015,Used,Automatic,SUV / 4x4,Octane,"1,500 cc","670,500 km","1,545,000"
Toyota,TownAce,GL,2018,,Reconditioned,Automatic,,"Petrol, Octane","1,500 cc","68,547 km","1,600,000"
Toyota,Prado,Sunroof Leather Seat,2015,2017,Used,Automatic,SUV / 4x4,Octane,"2,700 cc","39,368 km","10,600,000"
Toyota,Noah,X Noah Sunroof,2002,2005,Used,Automatic,MPV,"CNG, Octane","2,000 cc","74,500 km","1,160,000"
Honda,Vezel,Z Package Hybrid,2015,2018,Used,Automatic,SUV / 4x4,"Hybrid, Octane","1,500 cc","38,461 km","2,090,000"
Toyota,Noah,X Hybrid,2018,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","1,800 cc","83,258 km","3,250,000"
Toyota,Hiace,DX - Single AC,2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","65,849 km","2,900,000"
BMW,7 Series,730 LI Full Fresh,2016,2016,Used,Automatic,Saloon,Octane,"2,000 cc","19,032 km","16,200,000"
Mercedes-Benz,GLS-Class,GLS450.4MATIC.,2022,2022,Used,Automatic,SUV / 4x4,"Petrol, Octane","3,000 cc","2,400 km","30,000,000"
Mercedes-Benz,GLS-Class,"Gls,450,LUXURY,",2021,2021,Used,Automatic,SUV / 4x4,"Petrol, Octane","3,000 cc","11,000 km","28,500,000"
Toyota,Tercel,BUY & DRIVE-1331 CC.,1998,2003,Used,Automatic,Saloon,"CNG, Octane","1,331 cc","83,000 km","555,000"
Toyota,Vitz,.,2001,2006,Used,Automatic,Hatchback,Petrol,"1,000 cc","50,000 km","550,000"
Nissan,X-Trail,",",2015,2021,Used,Automatic,SUV / 4x4,"Hybrid, Octane","2,000 cc","70,000 km","3,150,000"
Toyota,Hiace,DX Ambulance,2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","81,000 km","2,400,000"
Honda,Grace,EX PKG.,2019,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","38,000 km","3,050,000"
Toyota,Corolla,G EDITION,2003,2007,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","750,200 km","1,145,000"
Toyota,Sienta,G CUERO 4.0 BLACK,2018,,Reconditioned,Automatic,MPV,"Hybrid, Octane","1,500 cc","80,205 km","2,880,000"
Toyota,Axio,X Hybrid,2016,2021,Used,Automatic,Saloon,"Hybrid, Octane","1,500 cc","54,005 km","2,050,000"
Toyota,Prius,s,2019,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","69,000 km","3,700,000"
Toyota,Axio,X TSS,2018,,Reconditioned,Automatic,Saloon,Hybrid,"1,500 cc","40,000 km","2,500,000"
Toyota,Esquire,GI PREMIUM,2018,,Reconditioned,Automatic,MPV,Hybrid,"1,800 cc","51,000 km","4,100,000"
Toyota,Hiace,GL - Dual A/C,2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","47,850 km","2,900,000"
Toyota,Noah,Standard Roof GL,2003,2006,Used,Automatic,MPV,"CNG, Octane","2,000 cc","85,000 km","875,000"
Toyota,Aqua,S Style Push,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,500 cc","65,000 km","2,050,000"
Toyota,Mark II,,1994,1998,Used,Automatic,Saloon,"CNG, Octane","1,988 cc","15,000 km","850,000"
Toyota,Noah,GOOD CONDITION-KR-42,2006,2011,Used,Automatic,MPV,"CNG, Octane","1,800 cc","77,000 km","1,225,000"
